City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,altay,47.8667,88.1167,273.71,70,98,0.5,CN,1677053216
85,carutapera,-1.195,-46.02,296.61,95,100,0.94,BR,1677053217
86,te anau,-45.4167,167.7167,281.29,71,54,2.33,NZ,1677052968
87,ponta do sol,32.6667,-17.1,288.55,72,21,2.46,PT,1677053219
88,hermanus,-34.4187,19.2345,294.15,60,46,2.5,ZA,1677053173
89,airai,-8.9266,125.4092,292.95,86,100,1.35,TL,1677053220
90,vestmannaeyjar,63.4427,-20.2734,273.7,80,100,2.57,IS,1677053221
91,nanortalik,60.1432,-45.2371,272.41,98,100,5.11,GL,1677053224
92,vilhena,-12.7406,-60.1458,292.89,99,100,2.32,BR,1677053225
93,arraial do cabo,-22.9661,-42.0278,296.09,90,100,2.14,BR,1677052992
94,pevek,69.7008,170.3133,248.84,94,100,4.4,RU,1677053227
95,borborema,-21.6197,-49.0736,293.52,94,100,1.93,BR,1677053228
96,thinadhoo,0.5333,72.9333,300.91,76,18,7.57,MV,1677053229
97,puerto ayora,-0.7393,-90.3518,297.34,100,100,0.35,EC,1677053230
98,biak,-0.9131,122.8766,302.22,70,63,0.24,ID,1677053231
99,chany,55.3121,76.7647,271.96,91,100,7.37,RU,1677053232
100,baherden,38.4362,57.4316,291.11,26,0,1.87,TM,1677053233
101,saskylakh,71.9167,114.0833,243.42,99,97,2.81,RU,1677053234
102,grindavik,63.8424,-22.4338,274.41,69,75,5.66,IS,1677053235
103,rio grande,-32.035,-52.0986,293.71,75,0,3.07,BR,1677053198
104,olonets,60.9847,32.9698,258.69,92,21,2.54,RU,1677053237
105,pokhvistnevo,53.6524,52.1274,268.92,95,100,5.76,RU,1677053240
106,ferrol,43.4832,-8.2369,284.66,94,100,2.54,ES,1677053241
107,aksha,50.2814,113.2867,269.0,53,76,5.98,RU,1677053242
108,masuguru,-11.3667,38.4167,302.41,66,100,2.11,TZ,1677053243
109,hobart,-42.8794,147.3294,291.63,58,20,7.2,AU,1677053211
110,mehamn,71.0357,27.8492,263.1,85,0,5.66,NO,1677052677
111,neiafu,-18.65,-173.9833,300.97,79,82,6.04,TO,1677053245
112,el copey,10.1503,-73.9614,296.39,52,0,1.62,CO,1677053246
113,cape town,-33.9258,18.4232,295.99,54,0,3.09,ZA,1677052827
114,gananoque,44.3334,-76.1661,272.02,79,100,4.53,CA,1677053224
115,mahebourg,-20.4081,57.7,302.73,71,18,6.94,MU,1677053248
116,port elizabeth,-33.918,25.5701,295.55,71,0,4.47,ZA,1677052962
117,bushehr,28.9684,50.8385,293.19,44,0,2.92,IR,1677053252
118,kawalu,-7.3817,108.2082,299.51,85,99,0.92,ID,1677052709
119,stege,54.987,12.2846,276.53,93,100,6.22,DK,1677053253
120,lydenburg,-25.0978,30.4597,292.82,56,17,1.95,ZA,1677053254
121,sao joao da barra,-21.6403,-41.0511,296.36,92,25,2.85,BR,1677053255
122,chuy,-33.6971,-53.4616,290.25,89,0,1.56,UY,1677053256
123,khatanga,71.9667,102.5,250.71,99,100,0.6,RU,1677053257
124,kahului,20.8947,-156.47,296.95,78,0,5.66,US,1677053260
125,kodiak,57.79,-152.4072,275.88,75,100,0.0,US,1677052621
126,new norfolk,-42.7826,147.0587,291.44,40,57,1.79,AU,1677053166
127,johnstown,40.3267,-78.922,276.25,60,0,0.0,US,1677053262
128,pochutla,15.7432,-96.4661,295.83,42,100,2.6,MX,1677053263
129,dikson,73.5069,80.5464,258.01,96,100,3.63,RU,1677053258
130,guiratinga,-16.3494,-53.7583,293.73,90,100,0.8,BR,1677053265
131,padang,-0.9492,100.3543,303.18,79,99,2.1,ID,1677053266
132,avarua,-21.2078,-159.775,297.18,88,16,0.51,CK,1677053174
133,la ronge,55.1001,-105.2842,240.57,97,10,2.91,CA,1677053264
134,almeirim,-1.5233,-52.5817,295.4,99,100,0.46,BR,1677053268
135,aktash,50.3,87.7333,267.45,75,12,1.37,RU,1677053269
136,tomatlan,19.9333,-105.25,291.56,66,89,1.52,MX,1677053270
137,novikovo,51.1537,37.8879,260.39,87,16,5.77,RU,1677053271
138,saldanha,-33.0117,17.9442,291.58,67,0,4.55,ZA,1677053272
139,hamilton,39.1834,-84.5333,280.31,65,100,3.13,US,1677052514
140,dakar,14.6937,-17.4441,298.64,72,0,7.2,SN,1677053178
141,narsaq,60.9167,-46.05,273.27,98,100,1.34,GL,1677053274
142,vilyuysk,63.7553,121.6247,257.53,95,100,2.77,RU,1677053275
143,noumea,-22.2763,166.4572,299.14,77,100,6.05,NC,1677053276
144,alofi,-19.0595,-169.9187,300.29,77,76,9.39,NU,1677053277
145,nantucket,41.2835,-70.0995,277.21,73,0,4.63,US,1677053122
146,sri aman,1.2376,111.4621,303.69,58,100,1.58,MY,1677053278
147,lasa,46.6166,10.7002,281.76,63,99,0.5,IT,1677053280
148,hithadhoo,-0.6,73.0833,301.28,74,97,7.69,MV,1677053142
149,gizo,-8.103,156.8419,300.25,78,100,2.61,SB,1677053281
150,port-gentil,-0.7193,8.7815,302.13,84,40,2.06,GA,1677052809
151,denpasar,-8.65,115.2167,303.96,70,20,6.17,ID,1677053081
152,kavieng,-2.5744,150.7967,300.53,77,95,8.24,PG,1677053284
153,esperance,-33.8667,121.9,294.82,78,100,3.97,AU,1677053285
154,clinton,42.587,-82.9199,273.68,68,100,2.57,US,1677053287
155,kaspiyskiy,45.3929,47.3707,278.56,77,32,9.34,RU,1677053288
156,harbour breton,47.4833,-55.7983,269.11,77,100,6.05,CA,1677053289
157,burnie,-41.0667,145.9167,290.9,65,93,6.99,AU,1677053290
158,saint-augustin,51.226,-58.6502,252.77,95,70,2.99,CA,1677053239
159,ambon,-3.6954,128.1814,305.23,62,40,3.09,ID,1677053292
160,briancon,44.9,6.65,279.54,72,96,1.21,FR,1677053293
161,domoni,-12.2569,44.5319,301.41,78,100,2.16,KM,1677053294
162,guozhen,34.3659,107.359,281.03,72,96,1.98,CN,1677053295
163,provideniya,64.3833,-173.3,273.6,99,100,4.08,RU,1677053296
164,baykit,61.67,96.37,263.4,91,86,0.86,RU,1677053297
165,kaitangata,-46.2817,169.8464,283.25,68,62,3.14,NZ,1677053298
166,pisco,-13.7,-76.2167,297.18,78,100,0.51,PE,1677053299
167,tommot,58.9564,126.2925,263.41,92,100,2.88,RU,1677053300
168,fukue,32.6881,128.8419,282.08,63,100,1.65,JP,1677053301
169,bantry,51.6833,-9.45,278.59,68,8,6.27,IE,1677053303
170,buala,-8.145,159.5921,299.41,84,100,1.87,SB,1677053304
171,qax,41.4225,46.9242,282.7,61,82,4.02,AZ,1677053306
172,nikolskoye,59.7035,30.7861,261.37,91,100,2.48,RU,1677053307
173,comodoro rivadavia,-45.8667,-67.5,292.07,45,0,7.2,AR,1677052568
174,sarkand,45.41,79.9186,277.93,97,100,1.96,KZ,1677053308
175,pacific grove,36.6177,-121.9166,281.29,69,100,8.23,US,1677053309
176,miami,25.7743,-80.1937,295.16,85,20,0.0,US,1677053002
177,cayenne,4.9333,-52.3333,295.17,100,75,1.03,GF,1677053293
178,flinders,-34.5833,150.8552,293.85,75,100,1.34,AU,1677053312
179,hofn,64.2539,-15.2082,270.5,55,0,6.98,IS,1677053313
180,smithers,54.7804,-127.1743,258.33,56,0,6.17,CA,1677052789
181,monte alegre,-2.0078,-54.0692,294.66,97,100,0.21,BR,1677053315
182,mayenne,48.3333,-0.6667,279.84,95,53,1.24,FR,1677053316
183,sola,-13.8833,167.55,300.72,75,100,2.42,VU,1677053317
184,vrangel,42.7297,133.0839,271.2,64,55,1.19,RU,1677053318
185,east london,-33.0153,27.9116,296.64,56,0,5.06,ZA,1677053319
186,jacareacanga,-6.2222,-57.7528,294.39,100,97,0.84,BR,1677053320
187,broome,42.2506,-75.833,272.96,68,0,3.09,US,1677053195
188,san felipe,10.3399,-68.7425,293.93,91,93,2.34,VE,1677052726
189,isangel,-19.55,169.2667,298.99,82,99,4.14,VU,1677053322
190,vila do maio,15.1333,-23.2167,295.59,81,90,9.34,CV,1677053323
191,lorengau,-2.0226,147.2712,299.43,85,100,7.34,PG,1677053324
192,stornoway,58.2093,-6.3865,277.13,87,20,3.6,GB,1677053324
193,mweka,-4.85,21.5667,293.93,98,100,1.02,CD,1677053325
194,esso,55.9333,158.7,254.51,99,80,3.06,RU,1677053326
195,kakinada,16.9333,82.2167,307.41,33,0,4.39,IN,1677053327
196,tatawin,32.9297,10.4518,287.58,25,1,5.32,TN,1677053329
197,port blair,11.6667,92.75,301.12,64,72,5.72,IN,1677053330
198,yeppoon,-23.1333,150.7333,301.03,65,90,8.04,AU,1677053331
199,treinta y tres,-33.2333,-54.3833,288.96,95,0,2.12,UY,1677053331
200,luderitz,-26.6481,15.1594,297.3,48,0,4.72,NA,1677052757
201,grand-bourg,15.8835,-61.3148,292.12,74,68,7.52,GP,1677053333
202,hasilpur,29.7122,72.5553,302.59,13,100,0.92,PK,1677053334
203,manta,-0.95,-80.7333,299.03,89,75,1.03,EC,1677053335
204,shimoda,34.6667,138.95,280.43,67,93,2.15,JP,1677053336
205,noyabrsk,63.1994,75.4507,269.35,93,100,11.27,RU,1677053337
206,upernavik,72.7868,-56.1549,259.34,75,100,2.51,GL,1677053299
207,clyde river,70.4692,-68.5914,249.7,96,100,7.28,CA,1677053339
208,alenquer,-1.9417,-54.7383,294.57,96,100,0.32,BR,1677053340
209,la seyne-sur-mer,43.0982,5.8847,285.16,87,99,1.79,FR,1677053341
210,faanui,-16.4833,-151.75,300.82,74,90,5.49,PF,1677053189
211,agadez,19.75,10.25,291.09,18,0,3.9,NE,1677053055
212,pemba,-12.974,40.5178,301.81,72,100,4.26,MZ,1677053343
213,devils lake,48.1128,-98.8651,247.01,79,0,4.12,US,1677053344
214,zhigansk,66.7697,123.3711,250.87,98,100,3.06,RU,1677053345
215,terney,45.0503,136.6092,269.92,50,17,1.79,RU,1677053347
216,miyako,39.6367,141.9525,274.3,58,82,0.76,JP,1677053348
217,chokurdakh,70.6333,147.9167,232.56,100,42,1.35,RU,1677053093
218,christchurch,-43.5333,172.6333,285.32,91,100,4.63,NZ,1677052531
219,borogontsy,62.6683,131.1683,249.73,99,100,0.91,RU,1677053350
220,shirokiy,49.758,129.523,263.7,90,100,0.64,RU,1677052803
221,touros,-5.1989,-35.4608,298.59,85,100,4.65,BR,1677053352
222,manokwari,-0.8667,134.0833,300.24,82,71,4.8,ID,1677053353
223,pestovo,58.5938,35.8024,258.16,91,74,3.36,RU,1677053354
224,capoterra,39.1763,8.9718,280.82,100,20,0.51,IT,1677053355
225,sakiai,54.9547,23.0358,272.32,64,100,3.66,LT,1677053356
226,kiunga,-6.1219,141.2906,301.75,72,100,1.05,PG,1677053357
227,xichang,27.8964,102.2634,289.84,56,80,1.6,CN,1677053358
228,porto novo,6.4965,2.6036,301.66,72,44,2.37,BJ,1677053359
229,walvis bay,-22.9575,14.5053,289.68,94,100,4.12,NA,1677053144
230,katsuura,35.1333,140.3,280.64,54,97,2.51,JP,1677053361
231,port lincoln,-34.7333,135.8667,301.73,48,94,3.31,AU,1677053186
232,oranjemund,-28.55,16.4333,293.37,61,0,5.07,NA,1677053364
233,namatanai,-3.6667,152.4333,299.43,83,95,3.65,PG,1677053365
234,qaqortoq,60.7167,-46.0333,272.46,99,100,3.04,GL,1677052793
235,tuktoyaktuk,69.4541,-133.0374,242.17,100,99,3.15,CA,1677053203
236,baryshivka,50.361,31.3217,270.62,60,71,4.54,UA,1677053368
237,biltine,14.5333,20.9167,301.12,11,0,5.44,TD,1677053370
238,namibe,-15.1961,12.1522,298.26,53,17,1.42,AO,1677053371
239,tiksi,71.6872,128.8694,254.11,92,100,3.62,RU,1677053162
240,soure,-0.7167,-48.5233,296.7,91,76,1.94,BR,1677053373
241,shahrud,36.4182,54.9763,283.04,32,0,2.81,IR,1677053375
242,champerico,14.3,-91.9167,297.79,74,82,1.1,GT,1677053376
243,geraldton,-28.7667,114.6,299.38,65,40,11.32,AU,1677053377
244,mirabad,30.4362,61.8383,297.61,10,0,4.63,AF,1677053378
245,iqaluit,63.7506,-68.5145,231.69,89,25,2.01,CA,1677053378
246,mangrol,21.1167,70.1167,300.12,52,89,5.63,IN,1677053379
247,formosa,-26.1775,-58.1781,295.35,80,0,1.54,AR,1677053380
248,yerofey pavlovich,53.9667,121.9667,264.03,72,100,2.07,RU,1677053381
249,santo andre,-23.6639,-46.5383,293.18,90,100,1.54,BR,1677053300
250,vostok,46.4856,135.8833,261.72,90,95,1.6,RU,1677053383
251,vysokogornyy,50.1167,139.15,258.64,93,100,2.92,RU,1677053384
252,hami,42.8,93.45,280.58,28,100,2.12,CN,1677053385
253,vao,-22.6667,167.4833,298.19,78,100,7.36,NC,1677053183
254,pontianak,-0.0333,109.3333,305.14,55,75,3.6,ID,1677053386
255,manakara,-22.1333,48.0167,301.07,86,91,7.47,MG,1677053387
256,kwekwe,-18.9281,29.8149,297.44,72,100,5.44,ZW,1677053388
257,sulangan,11.1373,123.7228,299.46,80,100,4.02,PH,1677053389
258,itamaraju,-17.0392,-39.5311,294.68,96,100,0.29,BR,1677053390
259,wellington,-41.2866,174.7756,288.47,96,100,10.29,NZ,1677053326
260,lagoa,39.05,-27.9833,287.14,84,100,11.52,PT,1677053391
261,isilkul,54.9109,71.2728,274.44,90,100,7.99,RU,1677053392
262,shagonar,51.5333,92.8,260.69,85,100,0.18,RU,1677053393
263,bethel,41.3712,-73.414,275.09,79,0,2.06,US,1677053394
264,severo-kurilsk,50.6789,156.125,267.59,81,96,9.27,RU,1677053395
265,velika plana,44.3339,21.0768,284.06,70,3,0.79,RS,1677053396
266,upata,8.0086,-62.3989,290.64,98,43,1.28,VE,1677053397
267,tessalit,20.1986,1.0114,295.32,12,49,3.84,ML,1677053398
268,henties bay,-22.116,14.2845,293.34,74,0,1.7,NA,1677053399
269,tongliao,43.6125,122.2653,276.49,29,100,3.07,CN,1677053343
270,dayong,25.0209,118.2898,293.25,35,0,1.53,CN,1677053400
271,georgetown,5.4112,100.3354,305.11,70,20,4.12,MY,1677053401
272,tuatapere,-46.1333,167.6833,282.68,72,79,1.72,NZ,1677053404
273,mendeleyevsk,55.9082,52.2905,264.73,93,100,4.13,RU,1677053406
274,gwadar,25.1216,62.3254,297.52,62,63,5.47,PK,1677053407
275,prado,-17.3411,-39.2208,296.99,88,100,1.26,BR,1677053408
276,ughelli,5.4899,6.0074,302.86,65,17,1.36,NG,1677053409
277,taft,31.7471,54.2088,289.12,22,0,2.06,IR,1677053410
278,asau,46.4333,26.4,278.86,93,96,0.84,RO,1677053411
279,amahai,-3.3333,128.9167,302.65,72,74,0.52,ID,1677053413
280,drumnadrochit,57.3344,-4.4799,277.38,87,100,1.83,GB,1677053414
281,klaksvik,62.2266,-6.589,276.66,64,98,14.56,FO,1677053415
282,vardo,70.3705,31.1107,261.14,92,51,10.29,NO,1677053416
283,ilhabela,-23.7781,-45.3581,296.71,87,100,1.32,BR,1677053278
284,torbay,47.6666,-52.7314,273.31,94,100,4.02,CA,1677053369
285,progreso,21.2833,-89.6667,296.21,84,38,5.54,MX,1677053419
